hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,9,140.61,139.29
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,10,141.18,140.04
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,11,141.50,140.89
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,12,141.39,141.26
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,1,141.40,141.83
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,2,142.57,142.57
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,3,143.54,143.00
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,4,144.32,143.45
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,5,146.07,144.41
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,6,146.74,144.85
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,7,147.55,145.55
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,8,148.25,146.49
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,9,148.22,146.78
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,10,148.63,147.43
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,11,148.34,147.72
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,12,148.61,148.54
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,1,149.78,150.22
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,2,149.29,149.33
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,3,151.34,150.79
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,4,152.36,151.47
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,5,153.57,151.82
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,6,154.92,152.90
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,7,155.71,153.57
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,8,155.85,153.95
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,9,156.00,154.42
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,10,156.17,154.87
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,11,156.00,155.37
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,12,156.39,156.37
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,1,156.47,156.95
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,2,157.52,157.63
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,3,158.64,158.13
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,4,159.87,158.91
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,5,161.25,159.42
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,6,162.06,159.90
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,7,162.70,160.40
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,8,162.98,160.90
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,9,163.34,161.62
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,10,164.05,162.67
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,11,163.52,162.86
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,12,163.42,163.42
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,1,163.77,164.35
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,2,164.29,164.52
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,3,165.80,165.35
